date,iso_code,nuts2,name,supplier,additional_dose
2021-10-06,ES-AN,ES61,Andalucía,Unknown,43234
2021-10-06,ES-AR,ES24,Aragón,Unknown,13627
2021-10-06,ES-AS,ES12,Asturias,Unknown,4884
2021-10-06,ES-IB,ES53,Islas Baleares,Unknown,0
2021-10-06,ES-CN,ES70,Canarias,Unknown,9127
2021-10-06,ES-CB,ES13,Cantabria,Unknown,4230
2021-10-06,ES-CL,ES41,Castilla y León,Unknown,26007
2021-10-06,ES-CM,ES42,Castilla-La Mancha,Unknown,11051
2021-10-06,ES-CT,ES51,Cataluña,Unknown,49208
2021-10-06,ES-VC,ES52,Comunidad Valenciana,Unknown,25942
2021-10-06,ES-EX,ES43,Extremadura,Unknown,13023
2021-10-06,ES-GA,ES11,Galicia,Unknown,22619
2021-10-06,ES-RI,ES23,La Rioja,Unknown,879
2021-10-06,ES-MD,ES30,Madrid,Unknown,25851
2021-10-06,ES-MC,ES62,Murcia,Unknown,2660
2021-10-06,ES-NC,ES22,Navarra,Unknown,3000
2021-10-06,ES-PV,ES21,País Vasco,Unknown,9791
2021-10-06,ES-CE,ES63,Ceuta,Unknown,408
2021-10-06,ES-ML,ES64,Melilla,Unknown,0
2021-10-07,ES-AN,ES61,Andalucía,Unknown,43990
2021-10-07,ES-AR,ES24,Aragón,Unknown,14312
2021-10-07,ES-AS,ES12,Asturias,Unknown,5629
2021-10-07,ES-IB,ES53,Islas Baleares,Unknown,0
2021-10-07,ES-CN,ES70,Canarias,Unknown,9505
2021-10-07,ES-CB,ES13,Cantabria,Unknown,5045
2021-10-07,ES-CL,ES41,Castilla y León,Unknown,29179
2021-10-07,ES-CM,ES42,Castilla-La Mancha,Unknown,12866
2021-10-07,ES-CT,ES51,Cataluña,Unknown,51666
2021-10-07,ES-VC,ES52,Comunidad Valenciana,Unknown,27663
2021-10-07,ES-EX,ES43,Extremadura,Unknown,13702
2021-10-07,ES-GA,ES11,Galicia,Unknown,22707
2021-10-07,ES-RI,ES23,La Rioja,Unknown,1073
2021-10-07,ES-MD,ES30,Madrid,Unknown,27568
2021-10-07,ES-MC,ES62,Murcia,Unknown,3261
2021-10-07,ES-NC,ES22,Navarra,Unknown,3008
2021-10-07,ES-PV,ES21,País Vasco,Unknown,10908
2021-10-07,ES-CE,ES63,Ceuta,Unknown,408
2021-10-07,ES-ML,ES64,Melilla,Unknown,0
2021-10-08,ES-AN,ES61,Andalucía,Unknown,44612
2021-10-08,ES-AR,ES24,Aragón,Unknown,14972
2021-10-08,ES-AS,ES12,Asturias,Unknown,6354
2021-10-08,ES-IB,ES53,Islas Baleares,Unknown,0
2021-10-08,ES-CN,ES70,Canarias,Unknown,9730
2021-10-08,ES-CB,ES13,Cantabria,Unknown,5584
2021-10-08,ES-CL,ES41,Castilla y León,Unknown,31212
2021-10-08,ES-CM,ES42,Castilla-La Mancha,Unknown,15321
2021-10-08,ES-CT,ES51,Cataluña,Unknown,53660
2021-10-08,ES-VC,ES52,Comunidad Valenciana,Unknown,29024
2021-10-08,ES-EX,ES43,Extremadura,Unknown,14065
2021-10-08,ES-GA,ES11,Galicia,Unknown,23045
2021-10-08,ES-RI,ES23,La Rioja,Unknown,1401
2021-10-08,ES-MD,ES30,Madrid,Unknown,28044
2021-10-08,ES-MC,ES62,Murcia,Unknown,3388
2021-10-08,ES-NC,ES22,Navarra,Unknown,3008
2021-10-08,ES-PV,ES21,País Vasco,Unknown,11080
2021-10-08,ES-CE,ES63,Ceuta,Unknown,408
2021-10-08,ES-ML,ES64,Melilla,Unknown,0
2021-10-11,ES-AN,ES61,Andalucía,Unknown,45335
2021-10-11,ES-AR,ES24,Aragón,Unknown,15267
2021-10-11,ES-AS,ES12,Asturias,Unknown,7221
2021-10-11,ES-IB,ES53,Islas Baleares,Unknown,0
2021-10-11,ES-CN,ES70,Canarias,Unknown,10107
2021-10-11,ES-CB,ES13,Cantabria,Unknown,5874
2021-10-11,ES-CL,ES41,Castilla y León,Unknown,62850
2021-10-11,ES-CM,ES42,Castilla-La Mancha,Unknown,16976
2021-10-11,ES-CT,ES51,Cataluña,Unknown,55468
2021-10-11,ES-VC,ES52,Comunidad Valenciana,Unknown,30403
2021-10-11,ES-EX,ES43,Extremadura,Unknown,14745
2021-10-11,ES-GA,ES11,Galicia,Unknown,23335
2021-10-11,ES-RI,ES23,La Rioja,Unknown,1603
2021-10-11,ES-MD,ES30,Madrid,Unknown,36688
2021-10-11,ES-MC,ES62,Murcia,Unknown,3457
2021-10-11,ES-NC,ES22,Navarra,Unknown,3008
2021-10-11,ES-PV,ES21,País Vasco,Unknown,12190
2021-10-11,ES-CE,ES63,Ceuta,Unknown,417
2021-10-11,ES-ML,ES64,Melilla,Unknown,0
2021-10-13,ES-AN,ES61,Andalucía,Unknown,45678
2021-10-13,ES-AR,ES24,Aragón,Unknown,15279
2021-10-13,ES-AS,ES12,Asturias,Unknown,7973
2021-10-13,ES-IB,ES53,Islas Baleares,Unknown,0
2021-10-13,ES-CN,ES70,Canarias,Unknown,10538
2021-10-13,ES-CB,ES13,Cantabria,Unknown,6009
2021-10-13,ES-CL,ES41,Castilla y León,Unknown,62850
2021-10-13,ES-CM,ES42,Castilla-La Mancha,Unknown,17317
2021-10-13,ES-CT,ES51,Cataluña,Unknown,55721
2021-10-13,ES-VC,ES52,Comunidad Valenciana,Unknown,30883
2021-10-13,ES-EX,ES43,Extremadura,Unknown,14826
2021-10-13,ES-GA,ES11,Galicia,Unknown,23404
2021-10-13,ES-RI,ES23,La Rioja,Unknown,1672
2021-10-13,ES-MD,ES30,Madrid,Unknown,38234
2021-10-13,ES-MC,ES62,Murcia,Unknown,3583
2021-10-13,ES-NC,ES22,Navarra,Unknown,3016
2021-10-13,ES-PV,ES21,País Vasco,Unknown,12348
2021-10-13,ES-CE,ES63,Ceuta,Unknown,417
2021-10-13,ES-ML,ES64,Melilla,Unknown,0
2021-10-14,ES-AN,ES61,Andalucía,Unknown,46208
2021-10-14,ES-AR,ES24,Aragón,Unknown,15613
2021-10-14,ES-AS,ES12,Asturias,Unknown,8849
2021-10-14,ES-IB,ES53,Islas Baleares,Unknown,4402
2021-10-14,ES-CN,ES70,Canarias,Unknown,11197
2021-10-14,ES-CB,ES13,Cantabria,Unknown,6280
2021-10-14,ES-CL,ES41,Castilla y León,Unknown,62850
2021-10-14,ES-CM,ES42,Castilla-La Mancha,Unknown,18184
2021-10-14,ES-CT,ES51,Cataluña,Unknown,57846
2021-10-14,ES-VC,ES52,Comunidad Valenciana,Unknown,32404
2021-10-14,ES-EX,ES43,Extremadura,Unknown,15536
2021-10-14,ES-GA,ES11,Galicia,Unknown,23591
2021-10-14,ES-RI,ES23,La Rioja,Unknown,2025
2021-10-14,ES-MD,ES30,Madrid,Unknown,39872
2021-10-14,ES-MC,ES62,Murcia,Unknown,3586
2021-10-14,ES-NC,ES22,Navarra,Unknown,3053
2021-10-14,ES-PV,ES21,País Vasco,Unknown,12780
2021-10-14,ES-CE,ES63,Ceuta,Unknown,420
2021-10-14,ES-ML,ES64,Melilla,Unknown,0
2021-10-15,ES-AN,ES61,Andalucía,Unknown,47448
2021-10-15,ES-AR,ES24,Aragón,Unknown,16026
2021-10-15,ES-AS,ES12,Asturias,Unknown,9840
2021-10-15,ES-IB,ES53,Islas Baleares,Unknown,4430
2021-10-15,ES-CN,ES70,Canarias,Unknown,11550
2021-10-15,ES-CB,ES13,Cantabria,Unknown,6651
2021-10-15,ES-CL,ES41,Castilla y León,Unknown,62850
2021-10-15,ES-CM,ES42,Castilla-La Mancha,Unknown,19158
2021-10-15,ES-CT,ES51,Cataluña,Unknown,60403
2021-10-15,ES-VC,ES52,Comunidad Valenciana,Unknown,33993
2021-10-15,ES-EX,ES43,Extremadura,Unknown,16056
2021-10-15,ES-GA,ES11,Galicia,Unknown,23827
2021-10-15,ES-RI,ES23,La Rioja,Unknown,2416
2021-10-15,ES-MD,ES30,Madrid,Unknown,42291
2021-10-15,ES-MC,ES62,Murcia,Unknown,3607
2021-10-15,ES-NC,ES22,Navarra,Unknown,3119
2021-10-15,ES-PV,ES21,País Vasco,Unknown,12961
2021-10-15,ES-CE,ES63,Ceuta,Unknown,420
2021-10-15,ES-ML,ES64,Melilla,Unknown,0
2021-10-18,ES-AN,ES61,Andalucía,Unknown,48182
2021-10-18,ES-AR,ES24,Aragón,Unknown,16348
