date,iso_code,nuts,name,supplier,administered
2021-01-05,ES,ES,España,Pfizer/BioNTech,139339
2021-01-07,ES,ES,España,Pfizer/BioNTech,207323
2021-01-08,ES,ES,España,Pfizer/BioNTech,277976
2021-01-11,ES,ES,España,Pfizer/BioNTech,406091
2021-01-12,ES,ES,España,Pfizer/BioNTech,488041
2021-01-13,ES,ES,España,Pfizer/BioNTech,581638
2021-01-14,ES,ES,España,Unknown,676186
2021-01-15,ES,ES,España,Unknown,768950
2021-01-18,ES,ES,España,Unknown,897942
2021-01-19,ES,ES,España,Unknown,966097
2021-01-20,ES,ES,España,Unknown,1025937
2021-01-21,ES,ES,España,Unknown,1103301
2021-01-22,ES,ES,España,Unknown,1165825
2021-01-25,ES,ES,España,Unknown,1237593
2021-01-26,ES,ES,España,Unknown,1291216
2021-01-27,ES,ES,España,Unknown,1356461
2021-01-28,ES,ES,España,Unknown,1395618
2021-01-29,ES,ES,España,Unknown,1474189
2021-02-01,ES,ES,España,Unknown,1609261
2021-02-02,ES,ES,España,Unknown,1673054
2021-02-03,ES,ES,España,Unknown,1764778
2021-02-04,ES,ES,España,Unknown,1865342
2021-02-05,ES,ES,España,Unknown,1988160
2021-02-08,ES,ES,España,Unknown,2105033
2021-02-09,ES,ES,España,Unknown,2167241
2021-02-10,ES,ES,España,Unknown,2233249
2021-02-11,ES,ES,España,Unknown,2320507
2021-02-12,ES,ES,España,Unknown,2423045
2021-02-15,ES,ES,España,Unknown,2561608
2021-02-16,ES,ES,España,Unknown,2624512
2021-02-17,ES,ES,España,Unknown,2690457
2021-02-18,ES,ES,España,Unknown,2782751
2021-02-19,ES,ES,España,Unknown,2936011
2021-02-22,ES,ES,España,Unknown,3090351
2021-02-23,ES,ES,España,Unknown,3165191
2021-02-24,ES,ES,España,Unknown,3284678
2021-02-25,ES,ES,España,Unknown,3436158
2021-02-26,ES,ES,España,Unknown,3605635
2021-03-01,ES,ES,España,Unknown,3829465
2021-03-02,ES,ES,España,Unknown,3908734
2021-03-03,ES,ES,España,Unknown,4059320
2021-03-04,ES,ES,España,Unknown,4229092
2021-03-05,ES,ES,España,Unknown,4471577
2021-03-08,ES,ES,España,Unknown,4712191
2021-03-09,ES,ES,España,Unknown,4848648
2021-03-10,ES,ES,España,Unknown,4989505
2021-03-11,ES,ES,España,Unknown,5172106
2021-03-12,ES,ES,España,Unknown,5352767
2021-03-15,ES,ES,España,Unknown,5644895
2021-03-16,ES,ES,España,Unknown,5742218
2021-03-17,ES,ES,España,Unknown,5857085
2021-03-18,ES,ES,España,Unknown,5993363
2021-03-22,ES,ES,España,Unknown,6321908
2021-03-23,ES,ES,España,Unknown,6409196
2021-03-24,ES,ES,España,Unknown,6604316
2021-03-25,ES,ES,España,Unknown,6823959
2021-03-29,ES,ES,España,Unknown,7548912
