date,iso_code,nuts,name,supplier,additional_dose
2021-10-06,ES,ES,España,Unknown,265541
2021-10-07,ES,ES,España,Unknown,282490
2021-10-08,ES,ES,España,Unknown,294908
2021-10-11,ES,ES,España,Unknown,344944
2021-10-13,ES,ES,España,Unknown,349748
2021-10-14,ES,ES,España,Unknown,364696
2021-10-15,ES,ES,España,Unknown,377046
2021-10-18,ES,ES,España,Unknown,387896
2021-10-19,ES,ES,España,Unknown,393681
2021-10-20,ES,ES,España,Unknown,400863
2021-10-21,ES,ES,España,Unknown,455403
2021-10-22,ES,ES,España,Unknown,465168
2021-10-25,ES,ES,España,Unknown,480249
2021-10-26,ES,ES,España,Unknown,483728
2021-10-27,ES,ES,España,Unknown,489784
2021-10-28,ES,ES,España,Unknown,844649
2021-10-30,ES,ES,España,Unknown,962373
2021-11-03,ES,ES,España,Unknown,1204886
2021-11-04,ES,ES,España,Unknown,1359261
2021-11-05,ES,ES,España,Unknown,1518617
2021-11-08,ES,ES,España,Unknown,1694745
2021-11-10,ES,ES,España,Unknown,2004741
2021-11-11,ES,ES,España,Unknown,2177023
2021-11-12,ES,ES,España,Unknown,2423963
2021-11-15,ES,ES,España,Unknown,2647050
2021-11-16,ES,ES,España,Unknown,2782583
2021-11-17,ES,ES,España,Unknown,2904255
2021-11-18,ES,ES,España,Unknown,3198583
