Fecha,CCAA,Total casos,Incidencia Acumulada últimos 14 días,Hospitalizados,Ingreso UCI,Fallecidos,Curados,Nuevos
2020-04-01T11:29:59,Andalucía,6392,65.76,3147,260,308,182,574
2020-04-01T11:29:59,Aragón,2491,171.68,1234,168,169,257,219
2020-04-01T11:29:59,Asturias,1322,105.59,590,76,63,109,86
2020-04-01T11:29:59,Baleares,1131,88.65,468,95,46,170,62
2020-04-01T11:29:59,Canarias,1380,55.68,532,110,62,77,118
2020-04-01T11:29:59,Cantabria,1213,197.05,543,54,54,43,42
2020-04-01T11:29:59,Castilla La Mancha,7047,313.45,3230,353,774,397,623
2020-04-01T11:29:59,Castilla y León,6847,257.51,2692,345,585,1259,636
2020-04-01T11:29:59,Cataluña,19991,236.15,13969,1769,1849,5701,1218
2020-04-01T11:29:59,Ceuta,51,58.98,6,3,1,0,17
2020-04-01T11:29:59,C. Valenciana,5922,103.84,2189,365,395,240,414
2020-04-01T11:29:59,Extremadura,1679,139.08,372,58,152,113,51
2020-04-01T11:29:59,Galicia,4432,151.55,1338,158,103,259,393
2020-04-01T11:29:59,Madrid,29840,363.22,15227,1514,3865,10827,2331
2020-04-01T11:29:59,Melilla,62,48.56,32,3,1,0,8
2020-04-01T11:29:59,Murcia,1041,61.52,304,59,37,43,67
2020-04-01T11:29:59,Navarra,2497,322.68,1120,104,130,236,192
2020-04-01T11:29:59,País Vasco,6838,265.65,3806,324,369,2165,518
2020-04-01T11:29:59,La Rioja,1960,486.43,619,54,90,569,150
2020-04-01T11:29:59,ESPAÑA,102136,188.02,51418,5872,9053,22647,7719
