ccaa_iso,fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_otras,num_casos_prueba_desconocida
AN,2020-01-31,0,0,0,0,0
AR,2020-01-31,0,0,0,0,0
AS,2020-01-31,0,0,0,0,0
CB,2020-01-31,0,0,0,0,0
CE,2020-01-31,0,0,0,0,0
CL,2020-01-31,0,0,0,0,0
CM,2020-01-31,0,0,0,0,0
CN,2020-01-31,0,0,0,0,0
CT,2020-01-31,1,1,0,0,0
EX,2020-01-31,0,0,0,0,0
GA,2020-01-31,0,0,0,0,0
IB,2020-01-31,0,0,0,0,0
MC,2020-01-31,0,0,0,0,0
MD,2020-01-31,4,4,0,0,0
ML,2020-01-31,0,0,0,0,0
NC,2020-01-31,0,0,0,0,0
PV,2020-01-31,0,0,0,0,0
RI,2020-01-31,0,0,0,0,0
VC,2020-01-31,4,3,1,0,0
AN,2020-02-01,2,2,0,0,0
AR,2020-02-01,0,0,0,0,0
AS,2020-02-01,0,0,0,0,0
CB,2020-02-01,0,0,0,0,0
CE,2020-02-01,0,0,0,0,0
CL,2020-02-01,0,0,0,0,0
CM,2020-02-01,0,0,0,0,0
CN,2020-02-01,0,0,0,0,0
CT,2020-02-01,8,6,0,0,2
EX,2020-02-01,0,0,0,0,0
GA,2020-02-01,1,1,0,0,0
IB,2020-02-01,0,0,0,0,0
MC,2020-02-01,0,0,0,0,0
MD,2020-02-01,8,8,0,0,0
ML,2020-02-01,0,0,0,0,0
NC,2020-02-01,0,0,0,0,0
PV,2020-02-01,0,0,0,0,0
RI,2020-02-01,0,0,0,0,0
VC,2020-02-01,1,1,0,0,0
AN,2020-02-02,2,1,1,0,0
AR,2020-02-02,0,0,0,0,0
AS,2020-02-02,0,0,0,0,0
CB,2020-02-02,0,0,0,0,0
CE,2020-02-02,0,0,0,0,0
CL,2020-02-02,1,1,0,0,0
CM,2020-02-02,0,0,0,0,0
CN,2020-02-02,1,0,0,0,1
CT,2020-02-02,3,2,0,0,1
EX,2020-02-02,2,0,2,0,0
GA,2020-02-02,1,1,0,0,0
IB,2020-02-02,0,0,0,0,0
MC,2020-02-02,0,0,0,0,0
MD,2020-02-02,6,6,0,0,0
ML,2020-02-02,0,0,0,0,0
NC,2020-02-02,0,0,0,0,0
PV,2020-02-02,0,0,0,0,0
RI,2020-02-02,0,0,0,0,0
VC,2020-02-02,0,0,0,0,0
AN,2020-02-03,1,1,0,0,0
AR,2020-02-03,0,0,0,0,0
AS,2020-02-03,0,0,0,0,0
CB,2020-02-03,0,0,0,0,0
CE,2020-02-03,0,0,0,0,0
CL,2020-02-03,1,0,1,0,0
CM,2020-02-03,0,0,0,0,0
CN,2020-02-03,0,0,0,0,0
CT,2020-02-03,3,2,0,0,1
EX,2020-02-03,0,0,0,0,0
GA,2020-02-03,1,1,0,0,0
IB,2020-02-03,0,0,0,0,0
MC,2020-02-03,0,0,0,0,0
MD,2020-02-03,7,7,0,0,0
ML,2020-02-03,0,0,0,0,0
NC,2020-02-03,0,0,0,0,0
PV,2020-02-03,0,0,0,0,0
RI,2020-02-03,1,1,0,0,0
VC,2020-02-03,5,1,3,0,1
AN,2020-02-04,1,0,1,0,0
AR,2020-02-04,0,0,0,0,0
AS,2020-02-04,0,0,0,0,0
CB,2020-02-04,0,0,0,0,0
CE,2020-02-04,0,0,0,0,0
CL,2020-02-04,1,1,0,0,0
CM,2020-02-04,0,0,0,0,0
CN,2020-02-04,1,1,0,0,0
CT,2020-02-04,4,4,0,0,0
EX,2020-02-04,0,0,0,0,0
GA,2020-02-04,1,0,1,0,0
IB,2020-02-04,0,0,0,0,0
MC,2020-02-04,0,0,0,0,0
MD,2020-02-04,3,3,0,0,0
ML,2020-02-04,0,0,0,0,0
NC,2020-02-04,1,0,1,0,0
PV,2020-02-04,0,0,0,0,0
RI,2020-02-04,0,0,0,0,0
VC,2020-02-04,1,0,1,0,0
AN,2020-02-05,1,0,1,0,0
AR,2020-02-05,0,0,0,0,0
AS,2020-02-05,0,0,0,0,0
CB,2020-02-05,0,0,0,0,0
CE,2020-02-05,1,0,1,0,0
CL,2020-02-05,1,1,0,0,0
CM,2020-02-05,0,0,0,0,0
CN,2020-02-05,0,0,0,0,0
CT,2020-02-05,2,2,0,0,0
EX,2020-02-05,0,0,0,0,0
GA,2020-02-05,1,0,0,0,1
IB,2020-02-05,0,0,0,0,0
MC,2020-02-05,2,0,2,0,0
MD,2020-02-05,4,4,0,0,0
ML,2020-02-05,0,0,0,0,0
NC,2020-02-05,0,0,0,0,0
PV,2020-02-05,0,0,0,0,0
RI,2020-02-05,0,0,0,0,0
VC,2020-02-05,4,1,3,0,0
AN,2020-02-06,2,1,1,0,0
AR,2020-02-06,1,1,0,0,0
AS,2020-02-06,0,0,0,0,0
CB,2020-02-06,0,0,0,0,0
CE,2020-02-06,0,0,0,0,0
CL,2020-02-06,0,0,0,0,0
CM,2020-02-06,0,0,0,0,0
CN,2020-02-06,0,0,0,0,0
CT,2020-02-06,1,1,0,0,0
EX,2020-02-06,0,0,0,0,0
GA,2020-02-06,0,0,0,0,0
IB,2020-02-06,0,0,0,0,0
MC,2020-02-06,0,0,0,0,0
MD,2020-02-06,4,4,0,0,0
ML,2020-02-06,0,0,0,0,0
NC,2020-02-06,0,0,0,0,0
PV,2020-02-06,0,0,0,0,0
RI,2020-02-06,0,0,0,0,0
VC,2020-02-06,2,2,0,0,0
AN,2020-02-07,2,2,0,0,0
AR,2020-02-07,0,0,0,0,0
AS,2020-02-07,0,0,0,0,0
CB,2020-02-07,0,0,0,0,0
CE,2020-02-07,0,0,0,0,0
CL,2020-02-07,1,1,0,0,0
CM,2020-02-07,0,0,0,0,0
CN,2020-02-07,0,0,0,0,0
CT,2020-02-07,3,2,0,0,1
EX,2020-02-07,0,0,0,0,0
GA,2020-02-07,0,0,0,0,0
IB,2020-02-07,0,0,0,0,0
MC,2020-02-07,0,0,0,0,0
MD,2020-02-07,9,9,0,0,0
ML,2020-02-07,0,0,0,0,0
NC,2020-02-07,0,0,0,0,0
PV,2020-02-07,0,0,0,0,0
RI,2020-02-07,0,0,0,0,0
VC,2020-02-07,1,0,1,0,0
AN,2020-02-08,0,0,0,0,0
AR,2020-02-08,0,0,0,0,0
AS,2020-02-08,0,0,0,0,0
CB,2020-02-08,0,0,0,0,0
CE,2020-02-08,0,0,0,0,0
CL,2020-02-08,0,0,0,0,0
CM,2020-02-08,0,0,0,0,0
CN,2020-02-08,0,0,0,0,0
CT,2020-02-08,0,0,0,0,0
EX,2020-02-08,1,1,0,0,0
GA,2020-02-08,0,0,0,0,0
IB,2020-02-08,0,0,0,0,0
MC,2020-02-08,0,0,0,0,0
MD,2020-02-08,8,8,0,0,0
ML,2020-02-08,0,0,0,0,0
NC,2020-02-08,0,0,0,0,0
PV,2020-02-08,0,0,0,0,0
RI,2020-02-08,0,0,0,0,0
VC,2020-02-08,0,0,0,0,0
AN,2020-02-09,1,0,1,0,0
AR,2020-02-09,0,0,0,0,0
AS,2020-02-09,0,0,0,0,0
CB,2020-02-09,0,0,0,0,0
CE,2020-02-09,0,0,0,0,0
CL,2020-02-09,0,0,0,0,0
CM,2020-02-09,0,0,0,0,0
CN,2020-02-09,0,0,0,0,0
CT,2020-02-09,1,0,0,0,1
EX,2020-02-09,0,0,0,0,0
GA,2020-02-09,0,0,0,0,0
IB,2020-02-09,0,0,0,0,0
MC,2020-02-09,0,0,0,0,0
MD,2020-02-09,2,2,0,0,0
ML,2020-02-09,0,0,0,0,0
NC,2020-02-09,0,0,0,0,0
PV,2020-02-09,1,0,0,0,1
RI,2020-02-09,0,0,0,0,0
VC,2020-02-09,0,0,0,0,0
AN,2020-02-10,1,1,0,0,0
AR,2020-02-10,0,0,0,0,0
AS,2020-02-10,0,0,0,0,0
CB,2020-02-10,0,0,0,0,0
CE,2020-02-10,0,0,0,0,0
CL,2020-02-10,1,0,1,0,0
CM,2020-02-10,0,0,0,0,0
CN,2020-02-10,0,0,0,0,0
CT,2020-02-10,3,3,0,0,0
EX,2020-02-10,0,0,0,0,0
GA,2020-02-10,0,0,0,0,0
IB,2020-02-10,2,2,0,0,0
MC,2020-02-10,1,0,1,0,0
