Fecha,CCAA,Total casos,Nuevos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-04-10T11:34:42,Andalucía,9510,249,,,67.94,,,4715,,582,,691,,1437,
2020-04-10T11:34:42,Aragón,3831,146,,,188.97,,,1822,,263,,409,,797,
2020-04-10T11:34:42,Asturias,1799,62,,,87.90,,,1083,,100,,121,,372,
2020-04-10T11:34:42,Baleares,1488,40,,,63.77,,,777,,136,,97,,737,
2020-04-10T11:34:42,Canarias,1858,24,,,45.51,,,738,,141,,94,,386,
2020-04-10T11:34:42,Cantabria,1659,40,,,146.11,,,747,,73,,102,,265,
2020-04-10T11:34:42,Castilla La Mancha,13063,574,,,449.07,,,2359,,329,,1431,,1982,
2020-04-10T11:34:42,Castilla y León,11102,584,,,290.47,,,5674,,332,,1129,,3506,
2020-04-10T11:34:42,Cataluña,31824,781,,,246.04,,,21530,,2582,,3231,,13513,
2020-04-10T11:34:42,Ceuta,91,7,,,87.29,,,9,,4,,4,,12,
2020-04-10T11:34:42,C. Valenciana,8331,367,,,95.91,,,3987,,561,,796,,2085,
2020-04-10T11:34:42,Extremadura,2332,59,,,103.12,,,1003,,101,,288,,397,
2020-04-10T11:34:42,Galicia,6946,188,,,171.29,,,2165,,151,,243,,997,
2020-04-10T11:34:42,Madrid,44783,906,,,383.29,,,12432,,1399,,5972,,22414,
2020-04-10T11:34:42,Melilla,95,2,,,61.28,,,41,,3,,2,,17,
2020-04-10T11:34:42,Murcia,1383,27,,,44.78,,,533,,88,,90,,255,
2020-04-10T11:34:42,Navarra,3748,173,,,322.07,,,1620,,124,,218,,560,
2020-04-10T11:34:42,País Vasco,10103,297,,,249.21,,,5290,,442,,729,,4680,
2020-04-10T11:34:42,La Rioja,3076,50,,,580.81,,,1047,,71,,196,,1256,
2020-04-10T11:34:42,ESPAÑA,157022,4576,,,197.68,,,67572,,7482,,15843,,55668,
