Fecha,CCAA,Total casos,Incidencia Acumulada últimos 14 días,Hospitalizados,Ingreso UCI,Fallecidos,Curados,Nuevos
2020-04-10T11:34:42,Andalucía,9510,67.94,4715,582,691,1437,249
2020-04-10T11:34:42,Aragón,3831,188.97,1822,263,409,797,146
2020-04-10T11:34:42,Asturias,1799,87.90,1083,100,121,372,62
2020-04-10T11:34:42,Baleares,1488,63.77,777,136,97,737,40
2020-04-10T11:34:42,Canarias,1858,45.51,738,141,94,386,24
2020-04-10T11:34:42,Cantabria,1659,146.11,747,73,102,265,40
2020-04-10T11:34:42,Castilla La Mancha,13063,449.07,2359,329,1431,1982,574
2020-04-10T11:34:42,Castilla y León,11102,290.47,5674,332,1129,3506,584
2020-04-10T11:34:42,Cataluña,31824,246.04,21530,2582,3231,13513,781
2020-04-10T11:34:42,Ceuta,91,87.29,9,4,4,12,7
2020-04-10T11:34:42,C. Valenciana,8331,95.91,3987,561,796,2085,367
2020-04-10T11:34:42,Extremadura,2332,103.12,1003,101,288,397,59
2020-04-10T11:34:42,Galicia,6946,171.29,2165,151,243,997,188
2020-04-10T11:34:42,Madrid,44783,383.29,12432,1399,5972,22414,906
2020-04-10T11:34:42,Melilla,95,61.28,41,3,2,17,2
2020-04-10T11:34:42,Murcia,1383,44.78,533,88,90,255,27
2020-04-10T11:34:42,Navarra,3748,322.07,1620,124,218,560,173
2020-04-10T11:34:42,País Vasco,10103,249.21,5290,442,729,4680,297
2020-04-10T11:34:42,La Rioja,3076,580.81,1047,71,196,1256,50
2020-04-10T11:34:42,ESPAÑA,157022,197.68,67572,7482,15843,55668,4576
