Fecha,CCAA,Total casos,Incidencia Acumulada últimos 14 días,Hospitalizados,Ingreso UCI,Fallecidos,Curados,Nuevos
2020-04-15T11:04:28,Andalucía,10595,49.95,5147,665,865,2224,289
2020-04-15T11:04:28,Aragón,4338,140,2006,282,514,1012,93
2020-04-15T11:04:28,Asturias,2096,75.67,1387,114,166,487,45
2020-04-15T11:04:28,Baleares,1606,41.32,857,149,125,881,35
2020-04-15T11:04:28,Canarias,1975,27.63,781,152,104,622,17
2020-04-15T11:04:28,Cantabria,1823,104.98,873,76,132,363,27
2020-04-15T11:04:28,Castilla La Mancha,14680,375.48,7896,495,1755,2998,351
2020-04-15T11:04:28,Castilla y León,13697,285.47,6306,306,1337,4521,517
2020-04-15T11:04:28,Cataluña,36505,215.16,23372,2789,3756,16651,1308
2020-04-15T11:04:28,Ceuta,98,55.44,9,4,4,30,2
2020-04-15T11:04:28,C. Valenciana,9424,69.99,4465,588,945,3360,211
2020-04-15T11:04:28,Extremadura,2762,101.43,1155,109,342,615,78
2020-04-15T11:04:28,Galicia,7708,121.36,2471,128,299,1298,111
2020-04-15T11:04:28,Madrid,49526,295.44,10116,1244,6724,27433,1478
2020-04-15T11:04:28,Melilla,102,46.25,43,3,2,24,1
2020-04-15T11:04:28,Murcia,1520,32.06,574,97,109,513,33
2020-04-15T11:04:28,Navarra,4246,267.34,1731,124,252,808,96
2020-04-15T11:04:28,País Vasco,11475,210.03,5750,471,902,5428,249
2020-04-15T11:04:28,La Rioja,3457,472.54,1182,75,246,1585,37
2020-04-15T11:04:28,ESPAÑA,177633,160.54,76121,7871,18579,70853,4978
