Fecha,CCAA,Total casos,Incidencia Acumulada últimos 14 días,Hospitalizados,Ingreso UCI,Fallecidos,Curados,Nuevos
2020-03-29T11:43:22,Andalucía,4682,50.45,2294,201,207,148,405
2020-03-29T11:43:22,Aragón,1858,129.69,835,124,93,8,266
2020-03-29T11:43:22,Asturias,1088,92.98,466,57,41,76,84
2020-03-29T11:43:22,Baleares,958,79.69,345,71,29,82,96
2020-03-29T11:43:22,Canarias,1125,47.18,425,78,39,30,100
2020-03-29T11:43:22,Cantabria,1023,167.28,449,40,26,25,86
2020-03-29T11:43:22,Castilla La Mancha,5246,238.33,3018,299,539,236,734
2020-03-29T11:43:22,Castilla y León,5414,213.46,2408,278,380,752,623
2020-03-29T11:43:22,Cataluña,15026,186.46,10688,1391,1226,3455,763
2020-03-29T11:43:22,Ceuta,21,23.59,2,2,1,0,4
2020-03-29T11:43:22,C. Valenciana,4784,87.43,1874,309,267,161,750
2020-03-29T11:43:22,Extremadura,1456,127.47,313,41,100,51,62
2020-03-29T11:43:22,Galicia,3139,109.06,1043,123,60,153,367
2020-03-29T11:43:22,Madrid,22677,287.14,14454,1429,3082,7491,1157
2020-03-29T11:43:22,Melilla,48,46.25,24,2,1,0,3
2020-03-29T11:43:22,Murcia,872,53.62,260,58,20,16,70
2020-03-29T11:43:22,Navarra,2011,279.42,896,90,84,125,182
2020-03-29T11:43:22,País Vasco,5740,231.45,3106,271,265,1503,604
2020-03-29T11:43:22,La Rioja,1629,419.51,497,43,68,397,193
2020-03-29T11:43:22,ESPAÑA,78797,151.04,43397,4907,6528,14709,6549
