Fecha,CCAA,Total casos,Incidencia Acumulada últimos 14 días,Hospitalizados,Ingreso UCI,Fallecidos,Curados,Nuevos
2020-04-06T10:57:15,Andalucía,8581,78.68,4227,489,491,798,280
2020-04-06T10:57:15,Aragón,3347,205.34,1637,237,284,565,115
2020-04-06T10:57:15,Asturias,1646,102.85,846,90,86,222,41
2020-04-06T10:57:15,Baleares,1320,80.04,683,121,81,531,27
2020-04-06T10:57:15,Canarias,1649,54.24,651,133,85,157,27
2020-04-06T10:57:15,Cantabria,1483,195.50,658,65,77,118,42
2020-04-06T10:57:15,Castilla La Mancha,10602,419.31,2901,354,1132,1259,571
2020-04-06T10:57:15,Castilla y León,9116,294.26,2508,348,919,2533,367
2020-04-06T10:57:15,Cataluña,26824,272.29,19143,2276,2760,10088,792
2020-04-06T10:57:15,Ceuta,83,90.83,9,4,3,2,0
2020-04-06T10:57:15,C. Valenciana,7334,108.58,1909,384,637,930,150
2020-04-06T10:57:15,Extremadura,2068,147.51,453,66,228,223,21
2020-04-06T10:57:15,Galicia,6151,183.11,1916,170,190,610,207
2020-04-06T10:57:15,Madrid,38723,422.43,14501,1510,5136,17322,1139
2020-04-06T10:57:15,Melilla,86,67.06,38,3,2,11,3
2020-04-06T10:57:15,Murcia,1259,61.18,468,81,68,156,24
2020-04-06T10:57:15,Navarra,3231,358.45,1432,124,187,380,158
2020-04-06T10:57:15,País Vasco,8810,289.39,4794,410,548,3568,182
2020-04-06T10:57:15,La Rioja,2719,622.48,888,66,141,964,127
2020-04-06T10:57:15,ESPAÑA,135032,216.78,59662,6931,13055,40437,4273
